Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Healthy Life Expectancy,Freedom,Generosity,Trust (Government Corruption)
Finland,1,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996
Norway,2,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34
Denmark,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408
Iceland,4,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138
Switzerland,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004
Netherlands,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295
Canada,7,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004
New Zealand,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389
Sweden,9,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995
Australia,10,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302
United Kingdom,11,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999
Austria,12,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998
Costa Rica,13,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999
Ireland,14,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306
Germany,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28
Belgium,16,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24
Luxembourg,17,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321
United States,18,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133
Israel,19,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272
United Arab Emirates,20,6.774,2.096,0.7759999999999999,0.67,0.284,0.18600000000000003,
Czech Republic,21,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034
Malta,22,6.627000000000001,1.27,1.525,0.884,0.645,0.376,0.142
France,23,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002
Mexico,24,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.069,0.095
Chile,25,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061
Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078
Panama,27,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,0.063
Brazil,28,6.419,0.986,1.474,0.675,0.493,0.11,0.08800000000000001
Argentina,29,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006
Guatemala,30,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.179,0.071
Uruguay,31,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,0.155
