Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Healthy Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Finland,1,7.769,1.34,1.587,0.986,0.596,0.39299999999999996,0.153
Denmark,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252
Norway,3,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.341,0.271
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.11800000000000001,0.354
Netherlands,5,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322
Switzerland,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263
Sweden,7,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267
New Zealand,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33
Canada,9,7.278,1.365,1.505,1.0390000000000001,0.584,0.308,0.285
Austria,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
Australia,11,7.228,1.3719999999999999,1.548,1.036,0.557,0.29,0.332
Costa Rica,12,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.09300000000000001,0.14400000000000002
Israel,13,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.08199999999999999,0.261
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.316,0.19399999999999998
United Kingdom,15,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.278,0.348
Ireland,16,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.31,0.298
Germany,17,6.985,1.3730000000000002,1.454,0.987,0.495,0.265,0.261
Belgium,18,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.21,0.16
United States,19,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.128,0.28
Czech Republic,20,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.036000000000000004,0.046
United Arab Emirates,21,6.825,1.5030000000000001,1.31,0.825,0.598,0.182,0.262
Malta,22,6.726,1.3,1.52,0.9990000000000001,0.564,0.151,0.375
Mexico,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001
France,24,6.5920000000000005,1.324,1.472,1.045,0.436,0.183,0.111
Taiwan,25,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.09699999999999999,0.242
Chile,26,6.444,1.159,1.369,0.92,0.35700000000000004,0.055999999999999994,0.187
Guatemala,27,6.436,0.8,1.2690000000000001,0.746,0.535,0.078,0.175
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08
Qatar,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.16699999999999998,0.22
Spain,30,6.354,1.286,1.484,1.062,0.36200000000000004,0.079,0.153
Panama,31,6.321000000000001,1.149,1.442,0.91,0.516,0.054000000000000006,0.109
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099
Uruguay,33,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.15,0.127
Singapore,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.45299999999999996,0.271
El Salvador,35,6.252999999999999,0.794,1.242,0.789,0.43,0.07400000000000001,0.09300000000000001
Italy,36,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.03,0.158
Bahrain,37,6.199,1.3619999999999999,1.368,0.871,0.536,0.11,0.255
Slovakia,38,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.013999999999999999,0.121
Trinidad & Tobago,39,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.016,0.185
Poland,40,6.182,1.206,1.4380000000000002,0.884,0.483,0.05,0.11699999999999999
Uzbekistan,41,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.24,0.322
Lithuania,42,6.149,1.238,1.515,0.818,0.29100000000000004,0.042,0.043
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099
Slovenia,44,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.057,0.14400000000000002
