,Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Social Support_2015,Health Life Expectancy_2015,Freedom_2015,Generosity_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Social Support_2016,Health Life Expectancy_2016,Freedom_2016,Trust (Government Corruption)_2016,Generosity_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Social Support_2017,Health Life Expectancy_2017,Freedom_2017,Trust (Government Corruption)_2017,Generosity_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Social Support_2018,Health Life Expectancy_2018,Freedom_2018,Generosity_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Social Support_2019,Health Life Expectancy_2019,Freedom_2019,Trust (Government Corruption)_2019,Generosity_2019,Happiness Rank_2020,Happiness Score_2020,Economy (GDP per Capita)_2020,Social Support_2020,Health Life Expectancy_2020,Freedom_2020,Trust (Government Corruption)_2020,Generosity_2020
0,Switzerland,1.0,7.5870000000000015,1.39651,1.34951,0.94143,0.66557,0.29678000000000004,0.41978,2.0,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,4.0,7.49399995803833,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.3670072853565221,0.29054927825927696,5.0,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,6.0,7.48,1.452,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263,,,10.97993279,0.942846596,74.10244751,0.921336651,0.303728431,0.105911039
1,Iceland,2.0,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.4363,0.14145,3.0,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,3.0,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.15352655947208402,0.475540220737457,4.0,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,4.0,7.494,1.38,1.624,1.026,0.591,0.11800000000000001,0.354,,,10.77255917,0.9746695759999999,73.0,0.948891878,0.7117097379999999,0.246944219
2,Denmark,3.0,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.34139,0.48357,1.0,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.0,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.40077006816864,0.3552804887294771,3.0,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,2.0,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252,,,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.168489456,0.06620177599999999
3,Norway,4.0,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,4.0,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,1.0,7.537000179290769,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.31596383452415505,0.36201223731041,2.0,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,3.0,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.341,0.271,,,11.08780384,0.952486575,73.20078278,0.955750287,0.26321819399999996,0.13453263
4,Canada,5.0,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,6.0,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,7.0,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,7.0,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,9.0,7.278,1.365,1.505,1.0390000000000001,0.584,0.308,0.285,,,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.390843362,0.124770768
5,Finland,6.0,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.23351,0.41372,5.0,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,5.0,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873,1.0,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,1.0,7.769,1.34,1.587,0.986,0.596,0.39299999999999996,0.153,,,10.63926697,0.954329729,71.9008255,0.949172199,0.19544458399999998,-0.059482019000000004
6,Netherlands,7.0,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.4761,0.31814000000000003,7.0,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,6.0,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.282661825418472,0.470489829778671,6.0,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,5.0,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322,,,10.81271172,0.93913883,72.30091858,0.908547819,0.364717126,0.20761244
7,Sweden,8.0,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.36262,0.43844,10.0,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,9.0,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.38539925217628496,9.0,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,7.0,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267,,,10.75879383,0.926311195,72.60076904,0.939144194,0.250880182,0.111614622
8,New Zealand,9.0,7.286,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.47501,0.42922,8.0,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,8.0,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.38281670212745705,0.500005125999451,8.0,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,8.0,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33,,,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.22113885,0.191598073
9,Australia,10.0,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.43562,0.35637,9.0,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,10.0,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,10.0,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,11.0,7.228,1.3719999999999999,1.548,1.036,0.557,0.29,0.332,,,10.72059631,0.9448546170000001,73.60453796,0.915431738,0.41516912,0.19046016
