Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Finland,1,7.808700085,1.0639267,0.954329729,0.719008255,0.949172199,0.19544458399999998,-0.059482019000000004
Denmark,2,7.645599842,1.07740011,0.955990791,0.72402504,0.9514442679999999,0.168489456,0.06620177599999999
Switzerland,3,7.559899807000001,1.09799328,0.942846596,0.741024475,0.921336651,0.303728431,0.105911039
Iceland,4,7.504499912000001,1.07725592,0.9746695759999999,0.73,0.948891878,0.7117097379999999,0.246944219
Norway,5,7.487999916000001,1.10878038,0.952486575,0.732007828,0.955750287,0.26321819399999996,0.13453263
Netherlands,6,7.448900223,1.08127117,0.93913883,0.723009186,0.908547819,0.364717126,0.20761244
Sweden,7,7.353499889,1.07587938,0.926311195,0.72600769,0.939144194,0.250880182,0.111614622
New Zealand,8,7.2996001239999995,1.05009432,0.9491189720000001,0.7320262909999999,0.9362174870000001,0.22113885,0.191598073
Austria,9,7.294199944,1.07428236,0.9280458690000001,0.730025024,0.899989486,0.49995487899999996,0.085429221
Luxembourg,10,7.2375001910000005,1.14506807,0.9069122079999999,0.725999985,0.90563643,0.367084295,-0.004620588
Canada,11,7.23210001,1.06923685,0.927176654,0.736016007,0.9339132309999999,0.390843362,0.124770768
Australia,12,7.222799778,1.07205963,0.9448546170000001,0.73604538,0.915431738,0.41516912,0.19046016
United Kingdom,13,7.164500237,1.06001349,0.93668282,0.7230160520000001,0.834743679,0.43591591700000004,0.263732493
Israel,14,7.128600121,1.04175253,0.913571239,0.7320025640000001,0.7475805879999999,0.78085506,0.10259372
Costa Rica,15,7.121399879,0.96581564,0.901545942,0.712998505,0.9347389340000001,0.7863324279999999,-0.10242971
Ireland,16,7.093699932000001,1.11609783,0.9420815709999999,0.723007889,0.8869829770000001,0.357184172,0.145784974
Germany,17,7.075799942000001,1.07328186,0.898874462,0.722020187,0.867371082,0.456422031,0.08017938599999999
United States,18,6.939599991000001,1.09257689,0.914219022,0.682994995,0.842619538,0.6997153159999999,0.149891734
Czech Republic,19,6.9109001160000005,1.04041634,0.914430678,0.700479355,0.818537354,0.85844624,-0.230861515
Belgium,20,6.863500117999999,1.06736393,0.911632538,0.72001648,0.813582063,0.612297952,-0.078691199
United Arab Emirates,21,6.790800095,1.11099987,0.8491811159999999,0.670827866,0.941345513,0.594502211,0.123450845
Malta,22,6.772799968999999,1.05338383,0.93037951,0.72199997,0.9249114390000001,0.658547282,0.214965805
France,23,6.663799762999999,1.05842228,0.937103748,0.738019333,0.8254676459999999,0.583521128,-0.130641967
Mexico,24,6.465000152999999,0.97977972,0.8386654259999999,0.682990265,0.8587092759999999,0.806821585,-0.175266623
Taiwan Province of China,25,6.45539999,1.07756853,0.894309103,0.695999985,0.77153033,0.73188293,-0.07319869799999999
Uruguay,26,6.440100192999999,0.99481926,0.92281127,0.690025482,0.892395437,0.635994136,-0.101103112
Saudi Arabia,27,6.406499863,1.07978125,0.874067068,0.663051453,0.854191244,0.682619512,-0.16869506199999998
Spain,28,6.4008998870000005,1.04629269,0.921125412,0.7440270999999999,0.751989543,0.765859902,-0.050961714000000005
