Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity,Year,Latitude,Longitude
Switzerland,1,7.5870000000000015,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2015,46.818188,8.227511999999999
Iceland,2,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2015,64.963051,-19.020835
Denmark,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2015,56.26392,9.501785
Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2015,60.47202399999999,8.468945999999999
Canada,5,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2015,56.130366,-106.346771
Finland,6,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2015,61.92410999999999,25.7481511
Netherlands,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2015,52.132633,5.291265999999999
Sweden,8,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2015,60.12816100000001,18.643501
New Zealand,9,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2015,-40.900557,174.885971
Australia,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2015,-25.274398,133.775136
Israel,11,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,2015,31.046051,34.851612
Costa Rica,12,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,2015,9.748916999999999,-83.753428
Austria,13,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2015,47.516231,14.550072
Mexico,14,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,2015,23.634501,-102.552784
United States,15,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2015,37.09024,-95.712891
Brazil,16,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,2015,-14.235004,-51.92528
Luxembourg,17,6.9460000000000015,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,2015,49.815273,6.129582999999999
Ireland,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,2015,53.1423672,-7.692053599999999
Belgium,19,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2015,50.503887,4.469936
United Arab Emirates,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2015,23.424076,53.847818
United Kingdom,21,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,2015,55.378051,-3.435973
Oman,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2015,21.4735329,55.975413
Venezuela,23,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,2015,6.42375,-66.58973
Singapore,24,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,2015,1.352083,103.819836
Panama,25,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2015,8.537981,-80.782127
Germany,26,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2015,51.165691,10.451526
Chile,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2015,-35.675147,-71.542969
Qatar,28,6.6110000000000015,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,2015,25.354826,51.183884
France,29,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2015,46.227638,2.213749
Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2015,-38.416097,-63.61667199999999
Czech Republic,31,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2015,49.81749199999999,15.472962
Uruguay,32,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2015,-32.522779,-55.765835
Colombia,33,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2015,4.570868,-74.297333
Thailand,34,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2015,15.870032,100.992541
Saudi Arabia,35,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2015,23.885942,45.079162
Spain,36,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2015,40.46366700000001,-3.74922
Malta,37,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,2015,35.937496,14.375416
Taiwan,38,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2015,23.69781,120.960515
Kuwait,39,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,2015,29.31166,47.481766
Suriname,40,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2015,3.919305,-56.027783
Trinidad and Tobago,41,6.1679999999999975,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2015,10.691803,-61.222503
El Salvador,42,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,2015,13.794185,-88.89653
Guatemala,43,6.1229999999999976,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2015,15.783471,-90.23075899999999
Uzbekistan,44,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2015,41.377491,64.585262
Slovakia,45,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2015,48.669026,19.699024
Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,2015,36.204824,138.252924
South Korea,47,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,2015,35.907757,127.766922
Ecuador,48,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999994,2015,-1.831239,-78.18340599999999
Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015,26.0667,50.5577
Italy,50,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2015,41.87194,12.56738
Bolivia,51,5.89,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2015,-16.290154,-63.58865299999999
Moldova,52,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,2015,47.411631,28.369885
Paraguay,53,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2015,-23.442503,-58.443832
Kazakhstan,54,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,2015,48.019573,66.923684
Slovenia,55,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,2015,46.151241,14.995463
Lithuania,56,5.8329999999999975,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2015,55.169438,23.881275
Nicaragua,57,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2015,12.865416,-85.207229
Peru,58,5.824,0.9001899999999999,0.97459,0.73017,0.4149600000000001,0.05989,0.14982,2015,-9.189967,-75.015152
Belarus,59,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2015,53.709807,27.953389
Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,2015,51.919438,19.145136
Malaysia,61,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,2015,4.210484,101.975766
Croatia,62,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2015,45.1,15.2000001
Libya,63,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2015,26.3351,17.228331
Russia,64,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2015,61.52401,105.318756
Jamaica,65,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2015,18.109581,-77.297508
North Cyprus,66,5.695,1.2080600000000001,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,2015,35.2480359,33.6577243
Cyprus,67,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,2015,35.126413,33.429859
Algeria,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2015,28.033886,1.659626
Kosovo,69,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2015,42.6026359,20.902977
Turkmenistan,70,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,2015,38.969719,59.556278
Mauritius,71,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,2015,-20.348404,57.55215200000001
Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,2015,22.3193039,114.1693611
Estonia,73,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,2015,58.595272,25.0136071
Indonesia,74,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,2015,-0.789275,113.921327
Vietnam,75,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2015,14.058324,108.277199
Turkey,76,5.332000000000002,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2015,38.963745,35.243322
Kyrgyzstan,77,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,2015,41.20438,74.766098
Nigeria,78,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2015,9.081999,8.675277
